,City
Clearfield,38
South Salt Lake,38
Roy,38
Springville,38
Brigham,38
Saratoga Springs,38
Price,38
Bountiful,38
Nephi,38
Lehi,38
Ogden,38
American Fork,38
Spanish Fork,38
Midvale,38
Provo,38
Orem,38
Richfield,38
Payson,38
West Valley City,38
Moab,38
Syracuse,38
Sandy,38
Cottonwood Heights,38
Layton,38
West Jordan,38
Draper,38
Lindon,38
Farmington,38
Tooele City,38
Murray,38
South Jordan,38
Salt Lake City,38
Cedar City,38
St George,38
Hurricane,38
Washington City,38
Logan,38
Eagle Mountain,38
Morgan City,38
Millcreek,37
Heber,37
Riverdale,37
Roosevelt,37
Holladay,37
Woods Cross,37
South Ogden,37
Vernal,37
Delta,37
Herriman,37
Centerville,37
North Salt Lake,37
Riverton,37
Kanab,37
Monticello,37
Taylorsville,37
Tremonton,37
Kaysville,37
Park City,37
Pleasant Grove,37
Blanding,36
West Bountiful,36
Beaver City,36
Salt Lake County (Unincorporated),36
Magna Township,35
Kearns Township,35
Springdale,33
